# z,n,symbol,jp,abundance,half_life_sec,half_life_text,decays,binding_kev_per_a,mass_excess_kev,discovery
0,1,n,1/2+,,613.9,613.9 s,B-:100,0,8071.3181,
0,4,n,0+,,1.755e-22,2.6 MeV,,,,
0,6,n,,,,,,,,
1,0,H,1/2+,99.9855,STABLE,stable,,0,7288.9711,1920
1,1,H,1+,0.0145,STABLE,stable,,1112.28,13135.723,1932
1,2,H,1/2+,,3.888e+08,12.32 Y,B-:100,2827.27,14949.811,1934
1,3,H,2-,,,,N:100,1720.45,24621.129,1981
1,4,H,(1/2+),,8.608e-23,5.3 MeV,2N:100,1336.36,32892.447,1987
1,5,H,,,2.943e-22,1.55 MeV,,961.639,41875.725,1984
1,6,H,(1/2+),,5.069e-21,0.09 MeV,,940,49135,2003
2,1,He,1/2+,0.0002,STABLE,stable,,2572.68,14931.219,1934
2,2,He,0+,99.9998,STABLE,stable,,7073.92,2424.9159,1908
2,3,He,3/2-,,7.041e-22,0.648 MeV,N,5512.13,11231.234,1937
2,4,He,0+,,0.8067,806.7 ms,B-:100,4878.52,17592.095,1936
2,5,He,(3/2)-,,3.042e-21,150 keV,N,4123.06,26073.128,1967
2,6,He,0+,,0.1191,119.1 ms,B-:100 B-N:16,3924.52,31609.683,1965
2,7,He,1/2+,,,,N:100,3349.04,40935.826,1987
2,8,He,(0+),,1.521e-21,300 keV,N:100,2995.13,49197.147,1994
3,1,Li,2-,,,,P:100,1153.76,25323.19,1965
3,2,Li,3/2-,,3.709e-22,1.23 MeV,P,5266.13,11678.887,1941
3,3,Li,1+,4.85,STABLE,stable,,5332.33,14086.88,1921
3,4,Li,3/2-,95.15,STABLE,stable,,5606.44,14907.105,1921
3,5,Li,2+,,0.8399,839.9 ms,B-A:100 B-:100,5159.71,20945.805,1935
3,6,Li,3/2-,,0.1783,178.3 ms,B-:100 B-N:50.8,5037.77,24954.905,1951
3,7,Li,(1- 2-),,,,N:100,4531.35,33052.628,1975
3,8,Li,3/2-,,0.00875,8.75 ms,B-:100 B-N,4155.38,40728.259,1966
3,9,Li,(1- 2-),,,,N:100,3791.6,49009.577,2008
4,2,Be,0+,,4.959e-21,92 keV,A:100 2P:100,4487.25,18375.034,1958
4,3,Be,3/2-,,4.598e+06,53.22 d,EC:100,5371.55,15768.998,1938
4,4,Be,0+,,8.191e-17,5.57 eV,A:100,7062.44,4941.672,1932
4,5,Be,3/2-,100,STABLE,stable,,6462.67,11348.451,1921
4,6,Be,0+,,4.765e+13,1.51E+6 Y,B-:100,6497.63,12607.487,1935
4,7,Be,1/2+,,13.76,13.76 s,B-:100 B-A:3.1 B-P:0.00083,5952.54,20177.169,1958
